SimulationIndex,Time,Distance,Velocity,Max Velocity,Acceleration,Motor Power,Battery Power,Battery Energy
160,0.18319117047927494,0.805,6.499267717951693,100,17.33199489781087,285000.0,285000.0,52209.48358659336
161,0.18396048791886732,0.81,6.512574157304023,100,17.296422344695635,285000.0,285000.0,52428.73905687719
162,0.18472823349522938,0.8150000000000001,6.525826320995542,100,17.261139757149333,285000.0,285000.0,52647.54654614037
163,0.1854944199908634,0.8200000000000001,6.539024759149441,100,17.22614302014914,285000.0,285000.0,52865.90969739608
164,0.18625906000740472,0.8250000000000001,6.552170013017429,100,17.191428101616456,285000.0,285000.0,53083.83210211035
165,0.1870221659692565,0.8300000000000001,6.565262615175326,100,17.156991050268253,285000.0,285000.0,53301.3173012381
166,0.1877837501271305,0.835,6.578303089713187,100,17.122827993512917,285000.0,285000.0,53518.36878623219
167,0.1885438245614962,0.84,6.591291952420168,100,17.088935135438053,285000.0,285000.0,53734.99000002642
168,0.18930240118594147,0.845,6.604229710964283,100,17.055308754836734,285000.0,285000.0,53951.18433799331
169,0.19005949175044728,0.85,6.61711686506724,100,17.021945203304966,285000.0,285000.0,54166.95514887747
170,0.19081510784457972,0.855,6.629953906674516,100,16.988840903415237,285000.0,285000.0,54382.30573570521
171,0.1915692609006012,0.86,6.642741320120822,100,16.955992346919675,285000.0,285000.0,54597.23935667133
172,0.1923219621965037,0.865,6.655479582291108,100,16.92339609301822,285000.0,285000.0,54811.75922600354
173,0.19307322285896655,0.87,6.668169162777266,100,16.891048766692514,285000.0,285000.0,55025.86851480545
174,0.19382305386624074,0.875,6.680810524030653,100,16.858947057072047,285000.0,285000.0,55239.570351878596
175,0.1945714660509622,0.88,6.69340412151058,100,16.827087715861243,285000.0,285000.0,55452.86782452422
176,0.19531847010289619,0.885,6.705950403828894,100,16.79546755580764,285000.0,285000.0,55665.763979325406
177,0.19606407657161465,0.89,6.71844981289077,100,16.76408344922192,285000.0,285000.0,55878.261822910164
178,0.19680829586910892,0.895,6.730902784031843,100,16.732932326535227,285000.0,285000.0,56090.36432269603
179,0.19755113827233925,0.9,6.74330974615179,100,16.70201117490541,285000.0,285000.0,56302.074407616674
180,0.19829261392572345,0.905,6.755671121844473,100,16.67131703686205,285000.0,285000.0,56513.39496883118
181,0.19903273284356604,0.91,6.767987327524746,100,16.640847008983457,285000.0,285000.0,56724.32886041632
182,0.19977150491242993,0.915,6.780258773552043,100,16.610598240630004,285000.0,285000.0,56934.878900042524
183,0.20050893989345214,0.92,6.792485864350827,100,16.580567932694265,285000.0,285000.0,57145.047869633854
184,0.2012450474246053,0.925,6.804668998528008,100,16.550753336399133,285000.0,285000.0,57354.8385160125
185,0.20197983702290637,0.93,6.816808568987429,100,16.521151752132987,285000.0,285000.0,57564.2535515283
186,0.20271331808657406,0.935,6.828904963041481,100,16.491760528302258,285000.0,285000.0,57773.295654673595
187,0.2034454998971367,0.9400000000000001,6.840958562519968,100,16.462577060231027,285000.0,285000.0,57981.96747068395
188,0.2041763916214915,0.9450000000000001,6.852969743876284,100,16.433598789093956,285000.0,285000.0,58190.27161212507
